Product Name,Price,Customer ratings,Category,Sales rank,Product brand,img_path
LG 65 Inch 4K UHD Smart LED TV With Built In Receiver - 65UR78066LK,"EGP 33,885.00",N/A,Televisions,141,LG,imgs\LG 65 Inch 4K UHD Smart LED TV With Built In Receiver - 65UR78066LK.jpg
Samsung 55 Inch 4K UHD Smart QLED TV With Built In Receiver - QA55Q60D,"EGP 27,810.00",N/A,Televisions,142,Samsung,imgs\Samsung 55 Inch 4K UHD Smart QLED TV With Built In Receiver - QA55Q60D.jpg
Samsung 55 Inch 4K UHD Smart LED TV With Built In Receiver - UA55DU7000,"EGP 21,525.00",N/A,Televisions,143,Samsung,imgs\Samsung 55 Inch 4K UHD Smart LED TV With Built In Receiver - UA55DU7000.jpg
Samsung 50 Inch 4K UHD Smart LED TV With Built In Receiver - UA50DU8000,"EGP 22,660.00",N/A,Televisions,144,Samsung,imgs\Samsung 50 Inch 4K UHD Smart LED TV With Built In Receiver - UA50DU8000.jpg
Samsung 50 Inch 4K UHD Smart QLED TV With Built In Receiver - QA50Q60D,"EGP 26,780.00",N/A,Televisions,145,Samsung,imgs\Samsung 50 Inch 4K UHD Smart QLED TV With Built In Receiver - QA50Q60D.jpg
Samsung 65 Inch 4K UHD Smart LED TV With Built In Receiver - QA65Q60D,"EGP 35,535.00",N/A,Televisions,146,Samsung,imgs\Samsung 65 Inch 4K UHD Smart LED TV With Built In Receiver - QA65Q60D.jpg
Samsung 50 Inch 4K UHD Smart LED TV With Built In Receiver - UA50DU7000,"EGP 19,570.00",N/A,Televisions,147,Samsung,imgs\Samsung 50 Inch 4K UHD Smart LED TV With Built In Receiver - UA50DU7000.jpg
Samsung 43 Inch 4K UHD Smart LED TV With Built In Receiver - UA43DU7000,"EGP 16,480.00",N/A,Televisions,148,Samsung,imgs\Samsung 43 Inch 4K UHD Smart LED TV With Built In Receiver - UA43DU7000.jpg
Samsung 65 Inch 4K UHD Smart LED TV With Built In Receiver - UA65DU7000,"EGP 28,840.00",N/A,Televisions,149,Samsung,imgs\Samsung 65 Inch 4K UHD Smart LED TV With Built In Receiver - UA65DU7000.jpg
Caixun 43 Inch FHD Smart LED TV - 43T10NFA1A,"EGP 10,275.00",N/A,Televisions,150,Caixun,imgs\Caixun 43 Inch FHD Smart LED TV - 43T10NFA1A.jpg
Contex LE-3919P01 - 39-inch HD D-LED Display,"EGP 2,399.00",4.9,Televisions,151,Contex,imgs\Contex LE-3919P01 - 39-inch HD D-LED Display.jpg
Toshiba 43L3965EA - 43-inch Full HD LED TV,"EGP 5,832.22",4.3,Televisions,152,Toshiba,imgs\Toshiba 43L3965EA - 43-inch Full HD LED TV.jpg
Contex LE-43P28 - 43-inch Full HD D-LED Smart TV,"EGP 3,699.00",N/A,Televisions,153,Contex,imgs\Contex LE-43P28 - 43-inch Full HD D-LED Smart TV.jpg
Toshiba 49L5965EA - 49-inch Full HD LED Smart TV with Android OS,"EGP 5,599.00",N/A,Televisions,154,Toshiba,imgs\Toshiba 49L5965EA - 49-inch Full HD LED Smart TV with Android OS.jpg
Contex LE-43Z401 - 43-inch Full HD D-LED Display,"EGP 3,299.00",N/A,Televisions,155,Contex,imgs\Contex LE-43Z401 - 43-inch Full HD D-LED Display.jpg
Toshiba 49L3965EA - 49-inch Full HD LED TV,"EGP 4,799.00",N/A,Televisions,156,Toshiba,imgs\Toshiba 49L3965EA - 49-inch Full HD LED TV.jpg
